"ID","TITLE","AUTHOR","SERIES","RELEASE_DATE","PAGES"
I1,THE FELLOWSHIP OF THE RING,J.R.R. TOLKIEN,LORD OF THE RINGS,"1954-07-29",423
I2,THE HUNGER GAMES,SUZANNE COLLINS,HUNGER GAMES,"2008-09-14",374
I3,THE SAPPHIRE ERUPTION,I.M. REDWRIGHT,THE SWORD'S CHOICE,"2020-01-18",412
I4,THE TWO TOWERS,J.R.R. TOLKIEN,LORD OF THE RINGS,"1954-11-11",352
I5,CATHING FIRE,SUZANNE COLLINS,HUNGER GAMES,"2009-09-01",391
I6,THE RETURN OF THE KING,J.R.R. TOLKIEN,LORD OF THE RINGS,"1955-10-20",416
I7,MOCKINGJAY,SUZANNE COLLINS,HUNGER GAMES,"2010-08-24",390
I8,HARRY POTTER AND THE PHILOSOPHER'S STONE,J.K. ROWLING,HARRY POTTER,"1997-06-26",223
I9,HARRY POTTER AND THE CHAMBER OF SECRETS,J.K. ROWLING,HARRY POTTER,"1998-07-02",251
I10,HARRY POTTER AND THE PRISONER OF AZKABAN,J.K. ROWLING,HARRY POTTER,"1999-07-08",317
I11,HARRY POTTER AND THE GOBLET OF FIRE,J.K. ROWLING,HARRY POTTER,"2000-07-08",636
I12,HARRY POTTER AND THE ORDER OF THE PHOENIX,J.K. ROWLING,HARRY POTTER,"2003-06-21",766
I13,HARRY POTTER AND THE HALF-BLOOD PRINCE,J.K. ROWLING,HARRY POTTER,"2005-07-16",607
I14,HARRY POTTER AND THE DEATHLY HALLOWS,J.K. ROWLING,HARRY POTTER,"2007-07-21",607
